question,category,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6
اذكر نبات يُزرع في البيوت للزينة,عامة,الصبار,26,الورد,24,الياسمين,18,النعناع,16,اللافندر,16,,
اذكر موسم يزهر فيه الطبيعة,عامة,الربيع,40,بداية الشتاء بعد المطر,26,الخريف بألوانه,22,الصيف بالمناطق الجبلية,12,,,,
اذكر شيء يحدث وقت هطول المطر,عامة,رائحة التراب المميزة,28,تجمع الماء بالشوارع,24,قوس قزح بعده,20,انخفاض الحرارة,16,زحمة السيارات,12,,
اذكر شيء يوجد في حقيبة الطالب,عامة,الكتب والدفاتر,28,الأقلام,24,المبراة والممحاة,18,علبة الفطور,16,المسطرة,14,,
اذكر شيء يصير بحفل التخرج,عامة,توزيع الشهادات,30,التصوير مع الأصدقاء,24,كلمة الخريجين,18,رمي القبعات,16,تكريم الأوائل,12,,
اذكر مادة جامعية صعبة على أغلب الطلاب,عامة,الرياضيات,28,الفيزياء,24,الكيمياء,20,الإحصاء,16,البرمجة,12,,
اذكر شيء يحتاجه الطالب وقت الاختبارات,عامة,التركيز,26,المذاكرة المبكرة,24,قهوة أو مشروب طاقة,20,النوم الكافي,18,جو هادئ,12,,
اذكر تخصص جامعي مطلوب بسوق العمل,عامة,الطب,26,الهندسة,24,تقنية المعلومات,22,إدارة الأعمال,16,المحاسبة,12,,
اذكر شيء يميز بيئة العمل الجيدة,عامة,احترام الموظفين,28,راتب عادل,24,فرص تطوير,18,توازن بين العمل والحياة,16,مدير متفهم,14,,
اذكر مهنة تعتمد على التواصل مع الناس,عامة,المبيعات,26,خدمة العملاء,24,التسويق,20,الصحافة والإعلام,18,الضيافة والسياحة,12,,
اذكر شيء يسبب ضغط العمل,عامة,كثرة المهام,28,قرب المواعيد النهائية,24,قلة الموظفين,18,توقعات عالية من المدير,16,اجتماعات كثيرة,14,,
اذكر مهنة يدوية أو حرفية,عامة,النجار,26,الكهربائي,24,السباك,20,الميكانيكي,18,الخياط,12,,
اذكر شيء يقيّم فيه الموظف بالعمل,عامة,الالتزام بالدوام,26,جودة الإنجاز,24,العمل الجماعي,18,الانضباط,16,المبادرة,16,,
اذكر تمرين رياضي شائع,عامة,المشي,28,الجري,24,تمارين البطن,18,الضغط (بوش أب),16,السكوات,14,,
اذكر سبب يخلّي الشخص يكسب وزن زيادة,عامة,الأكل الزائد,28,قلة الحركة,24,الوجبات السريعة,20,السهر وقلة النوم,16,التوتر,12,,
اذكر عادة صحية يوصي فيها الأطباء,عامة,شرب ماء كافي,28,النوم المبكر,24,تقليل السكر والملح,20,ممارسة الرياضة بانتظام,16,الفحص الدوري,12,,
اذكر شيء يساعد على النوم الجيد,عامة,إطفاء الأنوار,26,الابتعاد عن الجوال,24,جو هادئ وبارد,20,عدم شرب قهوة بالليل,18,النوم بنفس الموعد يومياً,12,,
اذكر مرض شائع بفصل الشتاء,عامة,الزكام والإنفلونزا,35,التهاب الحلق,26,السعال,20,الحساسية,12,جفاف الجلد,7,,
اذكر شيء تفعله وأنت بالمطار قبل الرحلة,عامة,تسجيل الوصول,28,فحص الجوازات,24,انتظار الصعود للطائرة,20,التسوق بالسوق الحرة,16,شرب قهوة بمقهى المطار,12,,
اذكر مدينة سعودية فيها مطار دولي كبير,عامة,الرياض,30,جدة,28,الدمام,20,المدينة المنورة,14,أبها,8,,
اذكر شيء يميز السفر بالقطار,عامة,الراحة أثناء الرحلة,28,مشاهدة المناظر بالطريق,24,عدم وجود زحمة,22,سرعة الوصول,16,سعر مناسب,10,,
اذكر وسيلة مواصلات تستخدمها داخل المدينة,عامة,السيارة الخاصة,30,التاكسي أو تطبيقات النقل,26,الباص العام,20,المترو,16,الدراجة,8,,
اذكر شيء ضروري تجهزه قبل رحلة برية طويلة,عامة,تعبئة البنزين,28,فحص إطارات السيارة,24,خريطة أو تطبيق ملاحة,18,أكل وماء بالسيارة,18,شاحن السيارة,12,,
اذكر ممثل عربي مشهور,عامة,عادل إمام,26,ناصر القصبي,22,أحمد حلمي,20,ياسر بكر,16,كريم عبدالعزيز,16,,
اذكر ممثل عالمي مشهور,عامة,ليوناردو دي كابريو,26,توم كروز,22,دواين جونسون,20,ويل سميث,18,جوني ديب,14,,
اذكر فيلم كرتون مشهور لديزني أو بيكسار,عامة,الأسد الملك,26,فروزن,24,توي ستوري,20,موانا,16,علاء الدين,14,,
اذكر نوع أفلام يحبه الناس,عامة,أكشن,26,كوميدي,24,رعب,18,رومانسي,16,خيال علمي,16,,
اذكر مسلسل رمضاني عربي مشهور,عامة,مسلسل باب الحارة,26,مسلسل الهيبة,22,مسلسل سيلفي,20,مسلسل خاتون,18,مسلسل رشاش,14,,
اذكر مطرب أو مطربة عربية مشهورة,عامة,محمد عبده,24,راشد الماجد,22,أصالة,20,حسين الجسمي,18,طلال مداح,16,,
اذكر مول أو مركز تسوق سعودي مشهور,عامة,مول العرب,26,الرياض بارك,24,سيتي ووك جدة,20,مول النخيل,16,بوليفارد رياض سيتي,14,,
اذكر سبب يخلّي الشخص يوفر فلوسه,عامة,شراء بيت مستقبلاً,28,الزواج,24,الطوارئ,22,السفر,14,التقاعد,12,,
اذكر موسم تخفيضات معروف,عامة,الجمعة البيضاء,30,نهاية الموسم,24,العيد,20,الصيف,16,بداية السنة الدراسية,10,,
اذكر طريقة دفع يستخدمها الناس اليوم,عامة,البطاقة البنكية,28,آبل باي أو الدفع الجوال,26,الدفع عند الاستلام,18,التحويل البنكي,16,الكاش,12,,
اذكر سبب ارتفاع أسعار شيء,عامة,قلة العرض,26,زيادة الطلب,24,ارتفاع تكلفة الشحن,20,التضخم,18,المواسم والمناسبات,12,,
اذكر شيء تجهزه لاستقبال ضيوف,عامة,ترتيب البيت,28,تجهيز القهوة والتمر,24,تجهيز الأكل,22,تعطير المجلس,14,تجهيز مكان الجلوس,12,,
اذكر مناسبة تقدّم فيها هدايا,عامة,الزواج,26,المولود الجديد,22,العيد,20,عيد الميلاد,18,التخرج,14,,
اذكر شيء يميز حفلة عيد ميلاد,عامة,الكيكة والشموع,30,الأغنية والتهنئة,24,الهدايا,22,البالونات والزينة,14,دعوة الأصدقاء,10,,
اذكر شيء يحصل بمجلس العزاء,عامة,قراءة القرآن,30,تعزية أهل المتوفى,26,تقديم القهوة السادة,22,الدعاء للمتوفى,22,,,,
اذكر شيء يميز عقد القران,عامة,توقيع العقد الشرعي,28,حضور أهل الطرفين,24,قراءة الفاتحة,22,توزيع الحلويات,14,تبادل الخواتم,12,,
اذكر جهاز ذكي منتشر بالبيوت الحديثة,عامة,مكبر صوت ذكي,26,كاميرا مراقبة,24,مصابيح ذكية,20,ثرموستات ذكي,16,روبوت تنظيف,14,,
اذكر أداة تستخدمها بالحديقة المنزلية,عامة,خرطوم الماء,28,المقص,24,الفأس الصغير,18,القفازات,16,الجاروف,14,,
اذكر شيء يوضع في غرفة الأطفال,عامة,السرير الصغير,28,الألعاب,26,الرسومات على الحائط,18,خزانة الملابس,16,مصباح ليلي,12,,
اذكر نوع دهان أو طلاء يستخدم بالمنزل,عامة,دهان الجدران,30,دهان الأبواب,24,الورق الجداري,22,دهان السقف,14,طلاء الأثاث,10,,
اذكر شيء تحتاجه وقت انقطاع الكهرباء,عامة,الشموع,28,الكشاف أو الفانوس,26,مولد كهرباء احتياطي,20,بطارية محمولة,16,جوال مشحون,10,,
اذكر شيء يحصل بالطقس الغبار,عامة,قلة الرؤية,30,تهيج الحساسية,24,إغلاق المدارس أحياناً,20,تأخر الرحلات,16,تلوث الهواء,10,,
اذكر شيء تحتاجه بيوم شديد الحرارة,عامة,الماء البارد,30,المكيف,26,الظل,18,واقي الشمس,16,ملابس خفيفة,10,,
اذكر ظاهرة جوية تحذر منها الأرصاد,عامة,السيول,30,الغبار الكثيف,24,الرياح الشديدة,22,الصقيع,14,الأمطار الغزيرة,10,,
اذكر لعبة ورق مشهورة,عامة,البلوت,30,الطرنيب,24,الكوتشينة,20,الأونو,16,البوكر,10,,
اذكر لعبة يلعبها الأطفال بالحديقة,عامة,الغميضة,28,لعبة الكرة,24,الحبل,18,الشد والجذب,16,الحجلة,14,,
اذكر لعبة لوحية (بورد قيم) مشهورة,عامة,المونوبولي,30,الشطرنج,26,الدومينو,20,سكرابل,14,الطاولة (البكجمون),10,,
اذكر نوع نشاط عائلي بالمناسبات,عامة,لعب الورق سوا,26,مشاهدة فيلم مع بعض,24,السوالف والقعدة,22,طبخ أكلة مع بعض,16,لعبة جماعية,12,,
اذكر شيء يوجد في علبة الإسعافات الأولية,عامة,الشاش والضمادات,28,المطهر,24,اللاصق الطبي,20,المقص الطبي,16,الكمادات الباردة,12,,
اذكر شيء يستخدمه المصور المحترف,عامة,الكاميرا,30,الحامل الثلاثي,24,العدسات,22,الإضاءة,14,بطاقة الذاكرة,10,,
اذكر شيء يميز شخص كريم,عامة,يساعد المحتاجين,28,يشارك أكله مع غيره,24,يستضيف الناس بسخاء,22,يعطي بدون مقابل,16,يهتم بالفقراء,10,,
اذكر سبب يخلّي شخص يثق بغيره,عامة,الصدق بالتعامل,28,الالتزام بالوعد,24,حفظ الأسرار,22,التصرف وقت الأزمات,14,النصيحة الصادقة,12,,
اذكر شيء يميز القائد الناجح,عامة,اتخاذ القرار الصحيح,28,الاستماع لفريقه,24,تحمّل المسؤولية,20,التحفيز والإلهام,16,الرؤية الواضحة,12,,
اذكر شيء يجعل الاجتماع ناجح,عامة,جدول أعمال واضح,28,الالتزام بالوقت,24,مشاركة الجميع,20,قرارات واضحة بالنهاية,16,عدم الاستطراد,12,,
اذكر سبب يخلّي تطبيق جوال ينجح,عامة,سهولة الاستخدام,28,سرعة الأداء,24,تصميم جذاب,18,خدمة عملاء ممتازة,16,مميزات مفيدة,14,,
اذكر شيء يميز مدينة ذكية,عامة,كاميرات مراقبة ذكية,26,مواصلات عامة متطورة,24,خدمات حكومية إلكترونية,22,طاقة نظيفة ومتجددة,16,إنترنت عالي السرعة,12,,
اذكر شيء يستخدمه الطالب أثناء المحاضرة أونلاين,عامة,اللابتوب,30,سماعات الرأس,24,الكاميرا,20,دفتر ملاحظات,16,إنترنت مستقر,10,,
اذكر شيء يميز شخص متواضع,عامة,ما يتفاخر بإنجازاته,28,يحترم الجميع بنفس الطريقة,26,يقبل النقد بصدر رحب,20,يساعد بدون منّة,16,بسيط بتعامله,10,,
اذكر شيء يسبب إزعاج بمكان العمل,عامة,الضوضاء العالية,28,زميل كثير الكلام,22,اجتماعات كثيرة بدون فايدة,20,مقاطعة مستمرة,16,فوضى المكتب,14,,
اذكر شيء يميز فريق عمل ناجح,عامة,التعاون والتنسيق,28,التواصل الواضح,24,احترام الأدوار,18,الثقة المتبادلة,16,هدف مشترك,14,,
اذكر شيء يجذبك بإعلان تجاري,عامة,الموسيقى المميزة,26,قصة مؤثرة,24,عرض أو خصم,22,مشاهير يظهرون فيه,16,فكرة مبتكرة,12,,
اذكر شيء يميز متجر إلكتروني ناجح,عامة,سرعة التوصيل,28,سياسة إرجاع سهلة,22,أسعار منافسة,20,تقييمات المنتجات,16,خدمة عملاء سريعة,14,,
اذكر شيء يحدث بيوم الافتتاح لمتجر جديد,عامة,خصومات وعروض,30,ازدحام الزبائن,24,هدايا ترويجية,20,قص الشريط,16,موسيقى واحتفال,10,,
اذكر شيء يميز مطعم جيد,عامة,طعم الأكل,30,سرعة التقديم,22,نظافة المكان,20,تعامل الموظفين,16,الأسعار المناسبة,12,,
اذكر شيء يفعله النادل بالمطعم,عامة,يستقبل الزبائن,26,يشرح قائمة الطعام,22,يسجل الطلب,22,يقدم الأكل,18,يحسب الفاتورة,12,,
اذكر شيء يميّز فندق خمس نجوم,عامة,خدمة راقية,28,غرف فاخرة,24,مسبح وسبا,20,مطاعم متنوعة,16,موقع مميز,12,,
اذكر شيء تحتاجه لبدء مشروع تجاري صغير,عامة,رأس مال,28,فكرة مشروع واضحة,24,سجل تجاري,18,دراسة جدوى,16,مكان أو منصة للبيع,14,,
اذكر منصة تسوق إلكتروني مشهورة,عامة,أمازون,30,نون,26,علي إكسبرس,20,شي إن,14,إيباي,10,,
اذكر شيء يميز شخص عصبي المزاج,عامة,يغضب بسرعة,30,يرفع صوته,24,يفقد صبره بسهولة,22,يندم بعد الغضب,14,يتصرف باندفاع,10,,
اذكر شيء يهدّئ شخص غاضب,عامة,الكلام الهادئ,28,إعطاءه وقت لحاله,24,الاعتذار,20,تغيير الموضوع,16,كوب ماء بارد,12,,
اذكر شيء يميز شخص طموح,عامة,يحط أهداف واضحة,28,يشتغل بجد,24,ما يستسلم بسهولة,22,يطور نفسه باستمرار,16,يتعلم من فشله,10,,
اذكر شيء يعطيك إحساس بالإنجاز,عامة,إنهاء مشروع صعب,28,تحقيق هدف طال انتظاره,24,مساعدة شخص محتاج,20,تعلم مهارة جديدة,16,التخرج أو الترقية,12,,
اذكر شيء يميز شخص منظم,عامة,يخطط ليومه مسبقاً,28,يرتب أغراضه,24,يلتزم بالمواعيد,22,يكتب قوائم مهام,16,مكتبه دائماً مرتب,10,,
اذكر عادة سيئة يحاول الناس تركها,عامة,التدخين,30,السهر الزائد,24,قضم الأظافر,18,الأكل غير الصحي,16,تأجيل المهام,12,,
اذكر شيء يميز شخص صادق بكلامه,عامة,يقول الحقيقة حتى لو صعبة,30,كلامه يطابق أفعاله,24,ما يتردد بالاعتراف بغلطه,20,موثوق بين الناس,16,ما يبالغ بالقصص,10,,
اذكر شيء يعطيك أمل بمستقبل أفضل,عامة,النجاح بعد التعب,28,دعم العائلة,24,الإيمان وحسن الظن بالله,22,قصص نجاح ملهمة,16,تحسّن الأوضاع تدريجياً,10,,
اذكر شيء يعلّمك إياه الفشل,عامة,الصبر,28,تحاول بطريقة أفضل,24,التواضع,20,تقييم الأخطاء,16,عدم الاستسلام,12,,
اذكر شيء يفعله شخص متفائل بيومه,عامة,يبتسم من الصباح,28,يشكر الله على نعمه,24,يخطط ليوم منتج,20,يتوقع الأفضل,16,يشجع من حوله,12,,
اذكر هدف شائع يحطه الناس بالسنة الجديدة,عامة,ممارسة الرياضة بانتظام,28,توفير المال,24,قراءة كتب أكثر,18,تحسين الصحة,16,تعلم مهارة جديدة,14,,
اذكر شيء يميز جلسة عائلية ناجحة,عامة,الحضور الكامل للعائلة,28,سوالف وضحك,24,أكل لذيذ سوا,22,تبادل الأخبار,14,عدم استخدام الجوالات,12,,
اذكر سبب يخلّي شخص يحب مدينته,عامة,الذكريات الجميلة فيها,28,وجود الأهل والأصحاب,24,الأمان والراحة,20,المعالم المميزة,16,الطبيعة أو الجو,12,,
اذكر شيء يميز شخص كريم بوقته,عامة,يساعد بدون تذمر,28,يستمع لمشاكل الغير,24,يعطي وقته لعائلته,22,يتطوع لخدمة المجتمع,16,صبور مع الناس,10,,
اذكر شيء يحصل بمعرض توظيف,عامة,توزيع السير الذاتية,28,مقابلات سريعة,24,التعرف على شركات جديدة,20,ورش تدريبية,16,فرص تدريب أو وظائف,12,,
اذكر شيء يميز خطاب تحفيزي جيد,عامة,قصص ملهمة,28,لغة جسد قوية,22,رسالة واضحة,22,تفاعل مع الجمهور,16,طاقة إيجابية,12,,
اذكر شيء تحتاجه لتعلم لغة جديدة بسرعة,عامة,الممارسة اليومية,28,المحادثة مع ناطقين أصليين,24,مشاهدة أفلام باللغة,18,تطبيقات تعليم اللغات,16,حفظ المفردات,14,,
اذكر شيء تفعله لتحسين مهاراتك بالعمل,عامة,دورات تدريبية,28,قراءة بمجال تخصصك,24,طلب ملاحظات من مديرك,20,التعلم من زملاء أكثر خبرة,16,الممارسة المستمرة,12,,
اذكر شيء يميز عرض تقديمي (بريزنتيشن) ناجح,عامة,محتوى واضح ومنظم,28,شرائح بسيطة وجذابة,24,ثقة المتحدث,22,التفاعل مع الحضور,16,الالتزام بالوقت,10,,
اذكر شيء تفعله عشان توفر بالمصاريف الشهرية,عامة,عمل ميزانية شهرية,28,تقليل المطاعم والتوصيل,24,مقارنة الأسعار قبل الشراء,20,تجنب الشراء العشوائي,16,الادخار أول الشهر,12,,
اذكر شيء يساعدك تاخذ قرار صعب,عامة,استشارة شخص تثق فيه,28,الاستخارة والدعاء,26,حساب الإيجابيات والسلبيات,22,الوقت للتفكير,14,الاستماع لحدسك,10,,
اذكر شيء يحدث لما تسافر لبلد فيها لغة مختلفة,عامة,صعوبة بالتواصل,28,استخدام تطبيق ترجمة,24,لغة الإشارة والإيماءات,20,تعلم كلمات أساسية بسرعة,16,مرشد سياحي,12,,
اذكر شيء يميز مدينة ساحلية,عامة,الشواطئ,30,المطاعم البحرية,24,النسيم المنعش,20,الأنشطة المائية,16,ميناء أو كورنيش,10,,
اذكر شيء تحس فيه لما تزور مكان لأول مرة,عامة,الحماس والفضول,28,التوهان بالبداية,22,الانبهار بالمناظر,22,الرغبة بالتصوير,16,الشعور بالغربة قليلاً,12,,
اذكر شيء يميز شخص يحب المغامرة,عامة,يجرب أنشطة خطرة كالمظلات,28,يحب أماكن غير مألوفة,26,يحب التحديات,20,ما يخاف يجرب أشياء جديدة,16,يحب الرياضات القاسية,10,,
اذكر شيء يميز رحلة برية ناجحة,عامة,تخطيط جيد للمسار,28,رفقة حلوة,24,طقس مناسب,18,أكل وماء كافي,16,توقفات مريحة,14,,
اذكر شيء يحصل بمخيم كشفي أو تدريبي,عامة,أنشطة جماعية,28,تعلم مهارات البقاء,24,النوم بالخيام,20,النار والسمر,16,الألعاب الترفيهية,12,,
اذكر شيء يستخدم فيه الناس الذكاء الاصطناعي اليوم,عامة,كتابة الرسائل والمحتوى,28,توليد الصور,24,الترجمة الفورية,20,المساعدات الصوتية,16,تلخيص المعلومات,12,,
اذكر تطبيق ذكاء اصطناعي مشهور,عامة,تشات جي بي تي,34,ميدجورني,22,جوجل جيميناي,20,كوبايلوت,14,ديب سيك,10,,
اذكر شيء يميز الهاتف الذكي الحديث عن القديم,عامة,الكاميرا الأقوى,28,سرعة المعالج,24,مساحة التخزين الكبيرة,20,الشاشة الأوضح,16,عمر البطارية,12,,
اذكر جهاز إلكتروني قابل للارتداء,عامة,الساعة الذكية,34,سماعة الأذن اللاسلكية,26,سوار اللياقة,20,نظارة الواقع الافتراضي,12,خاتم ذكي,8,,
اذكر منصة يشاهد فيها الناس بودكاست أو فيديوهات قصيرة,عامة,يوتيوب,28,تيك توك,26,انستقرام ريلز,22,سناب شات,14,سبوتيفاي للبودكاست,10,,
اذكر شيء يساعد على حماية البيئة,عامة,إعادة التدوير,28,تقليل استخدام البلاستيك,24,توفير الماء والكهرباء,20,زراعة الأشجار,16,استخدام الطاقة الشمسية,12,,
اذكر مصدر طاقة متجددة,عامة,الطاقة الشمسية,34,طاقة الرياح,28,الطاقة المائية,18,الطاقة الحرارية الأرضية,12,طاقة الأمواج,8,,
اذكر شيء يسبب تلوث الهواء,عامة,عوادم السيارات,30,دخان المصانع,26,حرق النفايات,18,الغبار والعواصف الرملية,16,التدخين,10,,
اذكر شيء يجب توفره بالسيارة للسلامة,عامة,حزام الأمان,30,الوسائد الهوائية,24,طفاية الحريق الصغيرة,18,مثلث التحذير,16,إطار احتياطي,12,,
اذكر رقم طوارئ يعرفه أغلب الناس,عامة,998 الإسعاف,30,999 الشرطة,28,997 الدفاع المدني,26,911 بالخارج,16,,,,
اذكر شيء يجب فعله وقت الحريق,عامة,الاتصال بالدفاع المدني,30,إخلاء المكان بسرعة,26,عدم استخدام المصعد,20,تغطية الفم من الدخان,14,استخدام طفاية الحريق,10,,
اذكر شيء يساعد الطفل يحب القراءة,عامة,قصص مصورة ممتعة,28,قراءة الأهل له من صغره,24,زيارة المكتبة,20,مكافأة بعد كل كتاب,16,قصص قبل النوم,12,,
اذكر مهارة مهمة تُعلَّم للأطفال بالبيت,عامة,الأدب والاحترام,28,النظافة الشخصية,24,مساعدة الأهل بالمنزل,20,إدارة المصروف,16,الصدق,12,,
اذكر لعبة تعليمية تنمي ذكاء الطفل,عامة,المكعبات والتركيب,28,الألغاز (البازل),26,لعبة الذاكرة,20,لعبة الحروف والأرقام,16,الرسم والتلوين,10,,
اذكر شيء يحتاجه كبار السن باهتمام خاص,عامة,الرعاية الصحية الدورية,28,الرفقة وعدم الشعور بالوحدة,26,الأدوية بمواعيدها,20,بيئة آمنة بالمنزل,16,النشاط الخفيف والمشي,10,,
اذكر شيء يحب كبار السن يسمعونه من أحفادهم,عامة,قصص عن يومهم,28,كلام معسول وحنان,24,طلب النصيحة منهم,22,الدعاء لهم,16,شكرهم على تربيتهم,10,,
اذكر شيء يحتاجه القط أو الكلب بالبيت,عامة,الأكل المخصص له,28,مكان للنوم,22,زيارة الطبيب البيطري,20,اللعب والحركة,18,الاستحمام والعناية,12,,
اذكر سبب يخلّي الناس تربي حيوان أليف,عامة,الونس ومحاربة الوحدة,28,حب الحيوانات,24,تعليم الأطفال المسؤولية,22,الحراسة (بالنسبة للكلاب),16,العلاج النفسي,10,,
اذكر نمط ديكور منزلي معروف,عامة,النمط الحديث (المودرن),28,النمط الكلاسيكي,24,النمط الاسكندنافي,20,النمط البوهيمي,16,النمط الصناعي,12,,
اذكر شيء يضيف لمسة جمالية للمجلس,عامة,الإضاءة الدافئة,28,الوسائد الملونة,24,لوحات فنية,20,النباتات الداخلية,16,السجاد الفاخر,12,,
اذكر إكسسوار تلبسه النساء,عامة,الخاتم,26,السوار,22,القلادة,20,الأقراط,18,الساعة,14,,
اذكر مناسبة تحتاج فيها ملابس رسمية,عامة,المقابلة الوظيفية,28,حفل الزفاف,26,التخرج,20,اجتماع عمل مهم,16,مناسبة دبلوماسية,10,,
اذكر نوع قهوة عالمي مشهور,عامة,إسبريسو,28,لاتيه,24,كابتشينو,20,أمريكانو,16,موكا,12,,
اذكر أداة تستخدم بتحضير القهوة المختصة,عامة,مطحنة القهوة,28,مكينة الإسبريسو,26,الميزان الرقمي,18,الكيتل ذو العنق الطويل,16,الفلتر أو الدلة,12,,
اذكر رياضة شتوية تُلعب على الثلج,عامة,التزلج على الجليد,32,هوكي الجليد,26,سنوبورد,22,الزحافة,12,تسلق الجبال الثلجية,8,,
اذكر سبب يخلّي محتوى السوشيال ميديا ينتشر,عامة,محتوى مضحك,28,موضوع يهم الكثير,24,مشاهير يشاركونه,20,فكرة مبتكرة وغريبة,16,توقيت نشر مناسب,12,,
اذكر شيء يميز صانع محتوى ناجح,عامة,الاستمرارية بالنشر,28,التفاعل مع المتابعين,24,فكرة مميزة ومختلفة,20,جودة التصوير والمونتاج,16,الصدق بالمحتوى,12,,
اذكر تحدي يواجهه الموظف بالعمل من المنزل,عامة,صعوبة التركيز,28,قلة التواصل مع الفريق,24,اختلاط وقت العمل بالراحة,22,مشاكل الإنترنت,16,الشعور بالعزلة,10,,
اذكر أداة يستخدمها فريق العمل عن بعد للتواصل,عامة,زوم,30,مايكروسوفت تيمز,26,سلاك,20,جوجل ميت,16,واتساب للعمل,8,,
اذكر شيء يساعد على تقليل التوتر,عامة,التنفس العميق,28,الرياضة,24,التحدث مع شخص تثق فيه,20,الاسترخاء وأخذ استراحة,16,الدعاء والذكر,12,,
اذكر سبب شائع للتوتر بحياة الناس اليومية,عامة,ضغط العمل,28,المشاكل المالية,24,الزحمة والمواصلات,18,العلاقات الاجتماعية,16,قلة الوقت,14,,
اذكر ميزة تتوفر بالسيارات الكهربائية,عامة,عدم الحاجة للبنزين,30,هدوء المحرك,24,تسارع سريع,20,تكلفة صيانة أقل,16,صديقة للبيئة,10,,
اذكر ماركة سيارات كهربائية مشهورة,عامة,تسلا,36,لوسيد,22,بي واي دي,18,بورش تايكان,14,مرسيدس الكهربائية,10,,
اذكر شيء يميز الحياة بالمدينة الكبيرة عن القرية,عامة,سرعة الحياة والزحمة,28,توفر الخدمات والمولات,24,قلة الهدوء,20,تنوع الفرص الوظيفية,16,ازدحام السكان,12,,
اذكر مشكلة تواجه سكان المدن الكبيرة,عامة,الزحمة المرورية,30,ارتفاع تكلفة المعيشة,26,تلوث الهواء,18,قلة المواقف,16,الضوضاء,10,,
اذكر نوع كتاب يحب الناس قراءته,عامة,الروايات,28,كتب تطوير الذات,24,الكتب الدينية,20,السير الذاتية,16,الكتب العلمية,12,,
اذكر سبب يخلّي الشخص يحب القراءة,عامة,توسيع المعرفة,28,الهروب من الروتين,22,تحسين اللغة,20,الاسترخاء الذهني,16,تطوير التفكير,14,,
اذكر مصطلح مالي يسمعه الناس كثير,عامة,الفائدة البنكية,26,التضخم,24,الميزانية,22,الاستثمار,16,القرض,12,,
اذكر طريقة استثمار يعرفها الناس,عامة,الأسهم,30,العقار,26,الذهب,20,الصناديق الاستثمارية,14,العملات الرقمية,10,,
اذكر شيء يعطيك دفعة نشاط بالصباح,عامة,الرياضة الخفيفة,28,كوب القهوة,26,الدش البارد,18,الإفطار الصحي,18,سماع أغنية تحبها,10,,
اذكر عادة مسائية تساعد على الاسترخاء,عامة,قراءة كتاب,26,الاستحمام الدافئ,24,تأمل أو تنفس هادئ,20,مشاهدة شيء خفيف,18,كتابة اليوميات,12,,
اذكر شيء يميز مقدم نشرة الأخبار,عامة,صوت واضح وثقة بالنفس,28,إلقاء احترافي,24,مظهر أنيق,20,سرعة البديهة,16,معرفة واسعة بالأخبار,12,,
اذكر شيء يستخدمه المذيع أو المقدم بالاستوديو,عامة,الميكروفون,30,سماعة الأذن (الإيرفون),24,التلقين (البرومبتر),20,الكاميرا,16,الإضاءة الاستوديو,10,,
اذكر مهرجان أو حدث ترفيهي عالمي مشهور,عامة,مهرجان كان السينمائي,26,كوميك كون,22,مهرجان الموسيقى (كوتشيلا),22,مهرجان أفينيون,16,معرض إكسبو,14,,
اذكر شيء يميز مسابقة تلفزيونية ناجحة,عامة,جوائز مغرية,28,منافسة مثيرة,24,مقدم برنامج محبوب,20,لجنة تحكيم معروفة,16,تفاعل الجمهور,12,,
اذكر شيء يميز مكتبة عامة حديثة,عامة,أقسام هادئة للمذاكرة,28,تنوع الكتب والمصادر,24,خدمة الإنترنت المجاني,20,فعاليات وورش ثقافية,16,نظام إلكتروني للاستعارة,12,,
اذكر شيء يميز حديقة حيوان,عامة,تنوع الحيوانات,28,أقفاص آمنة ومريحة,24,جولات تعليمية للزوار,20,إطعام الحيوانات أمام الناس,16,مناطق استراحة للعائلات,12,,
اذكر شيء يميز أكواريوم (حوض أسماك عام),عامة,تنوع الأسماك الملونة,30,نفق زجاجي تحت الماء,24,عروض تفاعلية,20,إضاءة هادئة ومميزة,16,منطقة لمس الكائنات البحرية,10,,
اذكر شيء يميز سيرك أو عرض ترفيهي,عامة,عروض بهلوانية,28,مهرجون يضحكون الجمهور,24,عروض حيوانات مدربة,20,ألعاب نارية بالختام,16,موسيقى حماسية,12,,
اذكر شيء تشوفه بمعرض كتاب دولي,عامة,دور نشر متنوعة,28,توقيع كتب من مؤلفين,24,عروض وخصومات,20,ندوات ثقافية,16,زحمة الزوار والقراء,12,,
اذكر شيء يميز مؤتمر تقني كبير,عامة,إعلان منتجات جديدة,28,محاضرات لخبراء التقنية,24,أجنحة عرض الشركات,20,فرص توظيف وتواصل,16,تجربة تقنيات جديدة,12,,
اذكر شيء يميز طبيب ناجح,عامة,التشخيص الدقيق,28,الصبر مع المرضى,24,متابعة أحدث الطب,20,الاستماع الجيد للمريض,16,الحزم بالنصيحة,12,,
اذكر شيء يجعل المعلم محبوب من طلابه,عامة,أسلوب شرح سهل,28,العدل بين الطلاب,24,روح الدعابة,20,الصبر والتفهم,16,الاهتمام بمستوى كل طالب,12,,
اذكر شيء يميز جار طيب,عامة,يحترم الخصوصية,28,يساعد وقت الحاجة,26,يشارك الأكل بالمناسبات,20,هادئ وما يزعج,16,يسلم ويسأل عنك,10,,
